orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,sigla_codigo_cargo_comissao,cargos_distribuidos,cargos_ocupados,cargos_vagos
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1011,52,52,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1012,74,74,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1013,32,28,4
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1014,17,16,1
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1015,47,46,1
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1016,1,1,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1021,7,7,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1022,5,5,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1023,5,5,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1025,3,3,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,DAS1026,3,3,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FCP1011,27,27,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FCP1012,60,60,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FCP1013,139,130,9
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FCP1014,119,117,2
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FCP1015,2,2,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FCP1021,8,8,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FCP1023,2,2,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FCT0005,71,67,4
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FCT0007,44,42,2
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FGR0001,110,92,18
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,FGR0002,152,113,39
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,MES0001,1,1,0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,NE 0001,6,6,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,DAS1014,4,4,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,DAS1015,25,25,0
