orgao_superior_codigo_siorg,orgao_superior_nome,orgao_nome,ano_mes_referencia,sigla_codigo_cargo_comissao,cargos_distribuidos,cargos_ocupados,cargos_vagos
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,52,52,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,74,74,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,32,28,4
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,17,16,1
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,47,46,1
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,1,1,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,7,7,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,5,5,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,5,5,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,3,3,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,3,3,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,27,27,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,60,60,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,139,130,9
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,119,117,2
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,2,2,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,8,8,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,2,2,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas Técnicas,71,67,4
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas Técnicas,44,42,2
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Função Gratificada,110,92,18
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Função Gratificada,152,113,39
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Ministro de Estado,1,1,0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Cargo de Natureza Especial,6,6,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,4,4,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,25,25,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,5,5,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,3,3,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,2,2,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,3,2,1
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,2,2,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,100,100,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,123,123,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,20,20,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,87,86,1
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,1,1,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,12,12,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,1,1,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,3,3,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Função Gratificada,63,63,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Função Gratificada,4,4,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Função Gratificada,26,26,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Ministro de Estado,1,1,0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Cargo de Natureza Especial,1,1,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,13,13,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,10,9,1
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,27,26,1
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,6,5,1
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,1,1,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,42,40,2
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,12,12,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,4,4,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,1,1,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,133,124,9
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,153,151,2
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,1,1,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,27,24,3
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,126,123,3
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,31,31,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Função Gratificada,58,57,1
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,165,138,27
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,179,171,8
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,144,141,3
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,119,114,5
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,48,48,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,8,8,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,62,54,8
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,54,50,4
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,21,19,2
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,18,18,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,9,7,2
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,1,1,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,2,2,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,210,199,11
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,177,161,16
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,117,100,17
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,36,33,3
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,4,3,1
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,13,13,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,1,1,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,4,4,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,6,5,1
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,8,7,1
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,11,11,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,12,10,2
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,15,15,0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,27,22,5
