cod_siorg,orgao_superior,orgao_administrativo,ano_mes_referencia,cargo_comissao,cargos_distribuidos,cargos_ocupados,cargos_vagos,porcentagem_cargos_ocupados,porcentagem_cargos_vagos
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,52,52,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,74,74,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,32,28,4,87.5,12.5
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,17,16,1,94.11764705882354,5.882352941176471
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,47,46,1,97.87234042553192,2.127659574468085
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,1,1,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,7,7,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,5,5,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,5,5,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,3,3,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,3,3,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,27,27,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,60,60,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,139,130,9,93.5251798561151,6.474820143884892
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,119,117,2,98.31932773109244,1.680672268907563
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,2,2,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,8,8,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,2,2,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas Técnicas,71,67,4,94.36619718309859,5.633802816901408
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Funções Comissionadas Técnicas,44,42,2,95.45454545454545,4.545454545454546
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Função Gratificada,110,92,18,83.63636363636364,16.363636363636363
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Função Gratificada,152,113,39,74.34210526315789,25.657894736842106
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Ministro de Estado,1,1,0,100.0,0.0
46,ADVOCACIA-GERAL DA UNIÃO,ADVOCACIA-GERAL DA UNIÃO,202110,Cargo de Natureza Especial,6,6,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,4,4,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,25,25,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,5,5,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,3,3,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,2,2,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,3,2,1,66.66666666666667,33.333333333333336
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Direção e Assessoramento Superiores,2,2,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,100,100,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,123,123,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,20,20,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,87,86,1,98.85057471264368,1.1494252873563218
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,1,1,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,12,12,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,1,1,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Funções Comissionadas do Poder Executivo,3,3,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Função Gratificada,63,63,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Função Gratificada,4,4,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Função Gratificada,26,26,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Ministro de Estado,1,1,0,100.0,0.0
214460,CONTROLADORIA-GERAL DA UNIÃO,CONTROLADORIA-GERAL DA UNIÃO,202110,Cargo de Natureza Especial,1,1,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,13,13,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,10,9,1,90.0,10.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,27,26,1,96.29629629629629,3.7037037037037037
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,6,5,1,83.33333333333333,16.666666666666668
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,1,1,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,42,40,2,95.23809523809524,4.761904761904762
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,12,12,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,4,4,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Direção e Assessoramento Superiores,1,1,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,133,124,9,93.23308270676692,6.7669172932330826
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,153,151,2,98.69281045751634,1.3071895424836601
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,1,1,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,27,24,3,88.88888888888889,11.11111111111111
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,126,123,3,97.61904761904762,2.380952380952381
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Funções Comissionadas do Poder Executivo,31,31,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,202110,Função Gratificada,58,57,1,98.27586206896552,1.7241379310344827
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,165,138,27,83.63636363636364,16.363636363636363
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,179,171,8,95.53072625698324,4.4692737430167595
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,144,141,3,97.91666666666667,2.0833333333333335
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,119,114,5,95.7983193277311,4.201680672268908
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,48,48,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,8,8,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,62,54,8,87.09677419354838,12.903225806451612
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,54,50,4,92.5925925925926,7.407407407407407
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,21,19,2,90.47619047619048,9.523809523809524
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,18,18,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,9,7,2,77.77777777777777,22.22222222222222
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,1,1,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Direção e Assessoramento Superiores,2,2,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,210,199,11,94.76190476190476,5.238095238095238
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,177,161,16,90.96045197740114,9.03954802259887
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,117,100,17,85.47008547008546,14.52991452991453
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,36,33,3,91.66666666666667,8.333333333333334
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,4,3,1,75.0,25.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,13,13,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,1,1,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas do Poder Executivo,4,4,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,6,5,1,83.33333333333333,16.666666666666668
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,8,7,1,87.5,12.5
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,11,11,0,100.0,0.0
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO","MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",202110,Funções Comissionadas Técnicas,12,10,2,83.33333333333333,16.666666666666668
